name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
Silk Road Cafe,1.0,18,mediterranean,1,Dublin,IE,D,Chester Beatty Library,2,53.342291,-6.267368,https://s3-media4.fl.yelpcdn.com/bphoto/ka9OFAbzFhPrcAUusKv1fQ/o.jpg,4.0
Rotana Café,2.0,49,lebanese,1,Dublin,IE,D,31 South Richmond Street,2,53.33053,-6.2642,https://s3-media1.fl.yelpcdn.com/bphoto/TFhE4jszGQKNiy6YnaOOmg/o.jpg,4.0
The Larder,2.0,60,modern_european,1,Dublin,IE,D,8 Parliament Street,2,53.3445136208,-6.26724947118,https://s3-media4.fl.yelpcdn.com/bphoto/aBEIVSqkM6BXvoRCNbJnzg/o.jpg,3.5
Hanley's Cornish Pasties,1.0,21,british,1,Dublin,IE,D,2 Merchants Arch,2,53.3457686912,-6.26287490129,https://s3-media3.fl.yelpcdn.com/bphoto/0ByZZntGgsO1YjSxCjEFAQ/o.jpg,4.0
Keoghs Café,2.0,53,coffee,1,Dublin,IE,D,1-2 Trinity Street,2,53.34396,-6.26215,https://s3-media2.fl.yelpcdn.com/bphoto/1w0brv29MQ1hTwosNQpRBw/o.jpg,4.0
Pho Ta,2.0,39,vietnamese,1,Dublin,IE,D,6 Cope Street,2,53.3449702,-6.2625404,https://s3-media3.fl.yelpcdn.com/bphoto/rdBz-OYH_4GTypv-rLqWdA/o.jpg,4.0
La Pausa Cafe,1.0,9,cafes,0,Dublin,IE,D,Blessington Street,,53.3561890764,-6.26564378931,https://s3-media3.fl.yelpcdn.com/bphoto/8h4wIvhhqDuZZvGmxJY_kQ/o.jpg,5.0
Delahunt,3.0,20,irish,1,Dublin,IE,D,39 Camden Street Lower,2,53.3342773,-6.26527,https://s3-media3.fl.yelpcdn.com/bphoto/V50OM1tiEyUR0kWTaYaH9w/o.jpg,4.5
HX46,2.0,21,coffee,1,Dublin,IE,D,46 Harold's Cross Road,6w,53.327549,-6.2774701,https://s3-media2.fl.yelpcdn.com/bphoto/Cifu889JXY9v39bbAIhSmQ/o.jpg,4.5
Pablo Picante,1.0,41,mexican,1,Dublin,IE,D,Temple Bar,2,53.3457815,-6.2621056,https://s3-media3.fl.yelpcdn.com/bphoto/ChEk8tJ-Oyd9T40jk0_UNg/o.jpg,3.5
Anseo,2.0,42,pubs,1,Dublin,IE,D,18 Camden Street Lower,2,53.335,-6.26527,https://s3-media2.fl.yelpcdn.com/bphoto/-fFJaZo8tn7tkGH5GehbLw/o.jpg,4.0
Alchemy Juice Company,2.0,24,healthmarkets,1,Dublin,IE,D,"BT2, Level 2",,53.3414798722,-6.26032097827,https://s3-media4.fl.yelpcdn.com/bphoto/tT9_ILXE4SkTQBJSbVLQaw/o.jpg,4.0
Café Topolis,2.0,45,italian,1,Dublin,IE,D,37 Parliament Street,2,53.3443,-6.26734,https://s3-media3.fl.yelpcdn.com/bphoto/onK3r-_jQ2aYt9c6M3iKrg/o.jpg,4.0
Alfie Byrne's,2.0,36,pubs,1,Dublin,IE,D,Earlsfort Terrace,2,53.3347390587,-6.25753987302,https://s3-media2.fl.yelpcdn.com/bphoto/V28Aa_GZD3TlLdUiFHN5sw/o.jpg,4.0
Murrays Bar,2.0,57,pubs,1,Dublin,IE,D,33 Upper O'Connell Street,1,53.3522,-6.26126,https://s3-media2.fl.yelpcdn.com/bphoto/N43bF28tdeMIWlOlu1y2Lg/o.jpg,4.0
The Birdcage Bakery,1.0,17,cafes,1,Dublin,IE,D,21 Harcourt Road,2,53.3325856107,-6.26388906568,https://s3-media1.fl.yelpcdn.com/bphoto/OyUnzumO2W9hitEC0Caggg/o.jpg,4.5
Dame Tavern,2.0,13,pubs,1,Dublin,IE,D,18 Dame Court,2,53.3440835231,-6.26386896527,https://s3-media2.fl.yelpcdn.com/bphoto/i3XOc-42e3RTDa8BfjMpKg/o.jpg,4.5
Il Valentino,2.0,59,bakeries,1,Dublin,IE,D,5 Gallery Quay,2,53.3426043774,-6.23901125241,https://s3-media3.fl.yelpcdn.com/bphoto/IQvcG4Z3dmoiKfDzkIJp-Q/o.jpg,4.0
Sin É,2.0,26,pubs,1,Dublin,IE,D,14-15 Upper Ormond Quay,1,53.3458,-6.27053,https://s3-media1.fl.yelpcdn.com/bphoto/dnglTxCs_2Eld7ohw95mPA/o.jpg,4.0
Bad Bobs,2.0,33,danceclubs,1,Dublin,IE,D,Temple Bar,2,53.3450587236,-6.2659062,https://s3-media1.fl.yelpcdn.com/bphoto/09WUMbgxZDgitnnAiQ76bA/o.jpg,4.0
Neary's,2.0,19,pubs,1,Dublin,IE,D,1 Chatham Street,2,53.34071,-6.26126,https://s3-media2.fl.yelpcdn.com/bphoto/P4dpPM05NzSv5unv2F-_rg/o.jpg,4.0
Cavern on Baggot Street,2.0,19,wine_bars,1,Dublin,IE,D,17 Upper Baggot Street,4,53.33349,-6.24472,https://s3-media1.fl.yelpcdn.com/bphoto/b4KfT8hVrfsg0kmdOAFFsA/o.jpg,4.5
Cirillo's,2.0,12,italian,1,Dublin,IE,D,140 Baggot Street Lower,2,53.33778,-6.25269,https://s3-media4.fl.yelpcdn.com/bphoto/BNkCUrj5Zwp0wZhkV4SPlQ/o.jpg,4.5
The Gotham Café,2.0,62,tradamerican,1,Dublin,IE,D,8 S Anne Street,2,53.34119,-6.25961,https://s3-media2.fl.yelpcdn.com/bphoto/A0kU_HKvpA1B-zCWmCAdeg/o.jpg,3.5
Good World Restaurant,2.0,43,chinese,1,Dublin,IE,D,18 South Great George's Street,2,53.3429,-6.26443,https://s3-media1.fl.yelpcdn.com/bphoto/QSiPpVp_cbyTjCrCuZkuPA/o.jpg,4.0
Brogan's,2.0,19,pubs,1,Dublin,IE,D,75 Dame Street,2,53.3446739311,-6.26681622461,https://s3-media3.fl.yelpcdn.com/bphoto/xcmKjd3LtzIBs_ScS6uRxw/o.jpg,4.0
Free Yelper Event: Improv Asylum,,13,yelpevents,1,Dublin,IE,D,Tivoli Theatre,8,53.342308,-6.2758786,https://s3-media3.fl.yelpcdn.com/bphoto/CxE6WDFCb2NUDpoD7yucTg/o.jpg,4.5
Panem,2.0,17,bakeries,1,Dublin,IE,D,Halfpenny Bridge House,1,53.3462637,-6.265454,https://s3-media1.fl.yelpcdn.com/bphoto/FuRSmUIOUKG-Pt77XeCiAQ/o.jpg,4.5
Joe's Coffee,1.0,18,coffee,1,Dublin,IE,D,15 Montague Street,2,53.3365707,-6.2638102,https://s3-media1.fl.yelpcdn.com/bphoto/4gd6IBSSHPSg7DF3Vc5dug/o.jpg,4.0
Gypsy Rose Rock N'Blues Bar,1.0,18,bars,1,Dublin,IE,D,4/5 Aston Quay,2,53.3464062257,-6.26156645498,https://s3-media2.fl.yelpcdn.com/bphoto/P36M1lBbAkBhumGO04pRFg/o.jpg,4.0
Sheehans,2.0,36,pubs,1,Dublin,IE,D,17 Chatham Street,2,53.3409,-6.26178,https://s3-media4.fl.yelpcdn.com/bphoto/oCw9z0msNOpCSKx-HvToDw/o.jpg,4.0
Bach 16,2.0,26,mediterranean,1,Dublin,IE,D,16 Bachelor's Walk,1,53.3470649,-6.2617127,https://s3-media3.fl.yelpcdn.com/bphoto/7kENFrL1Uuqb659uk4Ibng/o.jpg,4.0
Luna,4.0,10,seafood,1,Dublin,IE,D,2-3 Drury St,,53.3413203478,-6.26400183676,https://s3-media3.fl.yelpcdn.com/bphoto/SWrE0txa92M1HkJMcuahWw/o.jpg,4.5
La Dolce Vita,2.0,24,italian,1,Dublin,IE,D,5 Music Hall,2,53.3480682373,-6.24827003479,https://s3-media2.fl.yelpcdn.com/bphoto/MM0gyiY6WxPlwGuxbdnGGw/o.jpg,4.0
The Kilkenny Café,2.0,30,sandwiches,1,Dublin,IE,D,6 Nassau Street,2,53.34216,-6.25525,https://s3-media3.fl.yelpcdn.com/bphoto/79QZokkM1TaIrrWXx1bG4Q/o.jpg,4.0
O'Sheas Merchant,2.0,27,bars,1,Dublin,IE,D,12 Bridge Street Lower,8,53.345005,-6.275682,https://s3-media4.fl.yelpcdn.com/bphoto/YCIVlElnoJYTAHO2-Ib-_w/o.jpg,4.0
Toscana Restaurant City Centre,2.0,36,italian,1,Dublin,IE,D,3 Cork Hill,2,53.3440953656,-6.267786026,https://s3-media3.fl.yelpcdn.com/bphoto/YcpHA1cQzvvkSeeIdyWgpg/o.jpg,4.0
Grafton Street,,57,landmarks,1,Dublin,IE,D,33 Grafton Street,2,53.3413,-6.26042,https://s3-media4.fl.yelpcdn.com/bphoto/HEbUye-uhOfJkiPanPA1lw/o.jpg,4.0
Govinda's,1.0,35,vegetarian,1,Dublin,IE,D,4 Aungier Street,2,53.3412,-6.26547,https://s3-media1.fl.yelpcdn.com/bphoto/NOVgPPJGX4f-sUDkucK5Qg/o.jpg,4.0
